id,I�O,zau-pf-kpf,si-ida,si-n,si-psc,zuj-zuj-kod-orig,zuj-nzuj,zuj-nuts4,zuj-nazev-nuts4,su-isk,su-ise,su-kpp,si-nu,si-nco,su-esa2010t,su-esa2010,si-tcd,si-cd,si-co,si-at,od,do,edited_by,lchange
1748839,60126817,331,337911906,Havlíčkův Brod,58001,568414,Havlíčkův Brod,CZ0631,Havlíčkův Brod,,,50 - 99 zaměstnanců,Bratříků,,Místní vládní instituce,13130,1,851,,,1568401191,0,,13/09/2019 20:59
1748838,60153245,331,338520631,Vrchlabí,54301,579858,Vrchlabí,CZ0525,Trutnov,,,50 - 99 zaměstnanců,Komenského,,Místní vládní instituce,13130,1,586,,,1568401191,0,,13/09/2019 20:59
1748837,60153296,331,337911943,Trutnov,54101,579025,Trutnov,CZ0525,Trutnov,,,50 - 99 zaměstnanců,Lesnická,Horní Předměstí,Místní vládní instituce,13130,1,9,,,1568401191,0,,13/09/2019 20:59
1656560,60252511,331,337912127,Jablonec nad Nisou,46601,563510,Jablonec nad Nisou,CZ0512,Jablonec nad Nisou,,,25 - 49 zaměstnanců,Horní náměstí,,Místní vládní instituce,13130,1,1200,15,,1568380072,0,,13/09/2019 15:07
1656565,60252600,331,338154021,Jablonec nad Nisou,46601,563510,Jablonec nad Nisou,CZ0512,Jablonec nad Nisou,,,25 - 49 zaměstnanců,Horní náměstí,,Místní vládní instituce,13130,1,800,1,,1568380072,0,,13/09/2019 15:07
1656571,60252766,331,338197209,Železný Brod,46822,563871,Železný Brod,CZ0512,Jablonec nad Nisou,,,50 - 99 zaměstnanců,Smetanovo zátiší,,Místní vládní instituce,13130,1,470,,,1568380072,0,,13/09/2019 15:07
1748836,60337320,331,337912316,Český Těšín,73701,598933,Český Těšín,CZ0803,Karviná,,,25 - 49 zaměstnanců,Sokola-Tůmy,,Místní vládní instituce,13130,1,402,12,,1568401191,0,,13/09/2019 20:59
1748835,60341777,331,337912335,Mohelnice,78985,540471,Mohelnice,CZ0715,Šumperk,,,25 - 49 zaměstnanců,Masarykova,,Místní vládní instituce,13130,1,434,4,,1568401191,0,,13/09/2019 20:59
1748834,60371731,331,338213764,Uherské Hradiště,68601,592005,Uherské Hradiště,CZ0722,Uherské Hradiště,,,50 - 99 zaměstnanců,Nádražní,,Místní vládní instituce,13130,1,22,,,1568401191,0,,13/09/2019 20:59
1748833,60371749,331,337912363,Uherské Hradiště,68601,592005,Uherské Hradiště,CZ0722,Uherské Hradiště,,,50 - 99 zaměstnanců,Všehrdova,,Místní vládní instituce,13130,1,267,,,1568401191,0,,13/09/2019 20:59
